FID,Join_Count,OID,Join_Count,TARGET_FID,Join_Cou_1,Target_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Field29,Field30,Field31,Field32,Field33,Field34,Field35,Field36,Field37,Field38,Field39,Field40,Field41,Field42,Field43,Field44,Field45,Field46,LPA_CrudeP,Field48,Field49,Field50,Field51,Field52,Field53,Field54,Field55,Field56,PHLTH_Cr_1,MHLTH,PHLTH,Health,Distance,Dist_HLTH
40,1,40,1,40,0,0,MA,Boston,2507000,25025071201,2507000-25025071201,3131,15.1,13.9,"(42.33980630020, -71.0670729048)",42.3398063,-71.0670729,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
41,1,41,1,41,0,0,MA,Boston,2507000,25025140106,2507000-25025140106,1901,14.6,13.4,"(42.27493782820, -71.1366738674)",42.27493783,-71.13667387,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
42,1,42,1,42,0,0,MA,Boston,2507000,25025070402,2507000-25025070402,1723,13.7,16.1,"(42.34538094640, -71.0647064913)",42.34538095,-71.06470649,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
43,1,43,1,43,0,0,MA,Boston,2507000,25025100601,2507000-25025100601,5154,13.8,11.4,"(42.29084907020, -71.0562792883)",42.29084907,-71.05627929,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,2,4.5
44,1,44,1,44,0,0,MA,Boston,2507000,25025081300,2507000-25025081300,4760,18,18.9,"(42.31932716300, -71.0976901514)",42.31932716,-71.09769015,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
45,1,45,1,45,0,0,MA,Boston,2507000,25025092101,2507000-25025092101,6451,15.8,14,"(42.29842959140, -71.0534815372)",42.29842959,-71.05348154,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,2,4.5
46,1,46,1,46,0,0,MA,Boston,2507000,25025000802,2507000-25025000802,8136,14.5,8,"(42.35687178730, -71.1297575887)",42.35687179,-71.12975759,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,0,1.5,3,4.5
47,1,47,1,47,0,0,MA,Boston,2507000,25025091400,2507000-25025091400,2741,17.6,15.8,"(42.31526890490, -71.0698537242)",42.3152689,-71.06985372,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
48,1,48,1,48,0,0,MA,Boston,2507000,25025010300,2507000-25025010300,4861,18.3,6.3,"(42.33942512300, -71.1017927876)",42.33942512,-71.10179279,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,0,1.5,3,4.5
49,1,49,1,49,0,0,MA,Boston,2507000,25025050500,2507000-25025050500,1857,16.4,13.4,"(42.36977656620, -71.0339103554)",42.36977657,-71.03391036,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
