FID,SOURCE_ID,Health,GiZScore,GiPValue,NNeighbors,Gi_Bin
73,73,2.500000000000000,1.979575353850000,0.047751264658000,107,2
74,74,2.500000000000000,5.240973466600000,0.000000159731685,90,3
75,75,2.500000000000000,2.126656073140000,0.033448669818300,115,2
76,76,2.500000000000000,-3.489968291680000,0.000483077861356,57,-3
77,77,2.500000000000000,-0.793093212993000,0.427723523843000,25,0
78,78,2.500000000000000,5.289409750980000,0.000000122711711,82,3
79,79,2.500000000000000,3.898957869800000,0.000096607580250,99,3
80,80,2.500000000000000,-3.256580411320000,0.001127629857800,51,-3
81,81,2.500000000000000,2.626871450350000,0.008617388194900,111,3
82,82,2.500000000000000,0.910961423653000,0.362315710129000,36,0
83,83,1.500000000000000,-3.119565781830000,0.001811178143660,66,-3
84,84,1.500000000000000,-2.321494064250000,0.020260194084300,98,-2
85,85,2.500000000000000,1.356590149970000,0.174911473268000,50,0
86,86,0.000000000000000,1.897030423950000,0.057823922822100,105,1
87,87,0.000000000000000,0.138404904110000,0.889920421433000,108,0
88,88,0.000000000000000,0.588984630124000,0.555871587101000,111,0
89,89,1.000000000000000,3.482913507780000,0.000495988580914,72,3
90,90,0.000000000000000,-2.925454637500000,0.003439533178800,60,-3
91,91,0.000000000000000,-0.606380342468000,0.544262222082000,85,0
92,92,0.000000000000000,-0.466397308159000,0.640931139459000,89,0
93,93,0.000000000000000,-1.342658363790000,0.179382622519000,79,0
94,94,0.000000000000000,-1.623770235780000,0.104424854655000,30,0
95,95,0.000000000000000,-1.972402978910000,0.048563622059800,22,-2
96,96,0.000000000000000,0.813169139204000,0.416121098067000,92,0
97,97,0.000000000000000,-0.496476750515000,0.619558088529000,113,0
98,98,0.000000000000000,0.355075656762000,0.722532913722000,112,0
99,99,0.000000000000000,1.923028303870000,0.054476495355900,104,1
100,100,0.000000000000000,-1.584680992730000,0.113038832545000,76,0
101,101,0.000000000000000,-1.779422921220000,0.075170451360900,42,-1
102,102,0.000000000000000,-2.458414172480000,0.013955212887600,54,-2
103,103,0.000000000000000,-0.342198652791000,0.732201399626000,102,0
104,104,0.000000000000000,-0.702755064919000,0.482208409916000,107,0
105,105,0.000000000000000,-0.359599494995000,0.719146661995000,113,0
106,106,0.000000000000000,-2.510759195790000,0.012047184474600,40,-2
107,107,0.000000000000000,5.085293756370000,0.000000367057507,49,3
108,108,0.000000000000000,-0.431534202449000,0.666079990291000,90,0
109,109,0.000000000000000,-2.379342096410000,0.017343571867700,46,-2
110,110,0.000000000000000,-2.631879197930000,0.008491404935490,52,-3
111,111,0.000000000000000,-0.370462555865000,0.711037871856000,105,0
112,112,0.000000000000000,-0.332405036556000,0.739583436504000,108,0
113,113,0.000000000000000,0.317266387427000,0.751041480301000,111,0
114,114,0.000000000000000,3.864262306660000,0.000111425433009,88,3
115,115,0.000000000000000,-2.094581492790000,0.036208211826700,73,-2
116,116,0.000000000000000,2.852143482850000,0.004342549428740,110,3
117,117,1.000000000000000,0.520337604626000,0.602828292477000,32,0
118,118,1.000000000000000,0.499749083008000,0.617251768741000,42,0
119,119,0.000000000000000,-0.040326776997400,0.967832606179000,90,0
120,120,0.000000000000000,-2.439026639350000,0.014726882577800,71,-2
121,121,0.000000000000000,0.666979921409000,0.504784963082000,113,0
