StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,MHLTH_CrudePrev,PHLTH_CrudePrev,Geolocation
MA,Boston,2507000,25025091300,2507000-25025091300,2499,20,16.9,"(42.31993569610, -71.0668701025)"
MA,Boston,2507000,25025140102,2507000-25025140102,4401,12.2,10.7,"(42.24574791500, -71.1379777407)"
MA,Boston,2507000,25025091200,2507000-25025091200,3234,15.2,12.6,"(42.31632590820, -71.0622197577)"
MA,Boston,2507000,25025120201,2507000-25025120201,3439,12.9,9.4,"(42.30515702400, -71.1083674637)"
MA,Boston,2507000,25025070700,2507000-25025070700,2361,10.5,7.6,"(42.34588757970, -71.0761483819)"
MA,Boston,2507000,25025120103,2507000-25025120103,1508,8.4,6.6,"(42.31175676060, -71.1182631441)"
MA,Boston,2507000,25025081500,2507000-25025081500,2134,14.7,13.2,"(42.32071868140, -71.0929140339)"
MA,Boston,2507000,25025050600,2507000-25025050600,2063,16,13.7,"(42.37188775700, -71.0372695279)"
MA,Boston,2507000,25025130404,2507000-25025130404,2901,10.8,10.9,"(42.26850202740, -71.1569686930)"
MA,Boston,2507000,25025130406,2507000-25025130406,5107,13.3,11.8,"(42.26006005390, -71.1512452710)"
MA,Boston,2507000,25025092300,2507000-25025092300,2893,16.7,14.8,"(42.29394353220, -71.0750607488)"
MA,Boston,2507000,25025091800,2507000-25025091800,3452,17.7,15.3,"(42.30736638880, -71.0705166945)"
MA,Boston,2507000,25025980300,2507000-25025980300,338,24.5,27.9,"(42.30267657910, -71.0949337268)"
MA,Boston,2507000,25025050200,2507000-25025050200,5231,16.4,13.5,"(42.37757782120, -71.0357576955)"
MA,Boston,2507000,25025081900,2507000-25025081900,3115,17.8,17.4,"(42.31547419130, -71.0896519064)"
MA,Boston,2507000,25025010203,2507000-25025010203,5569,14.5,8,"(42.34478377380, -71.0972291191)"
MA,Boston,2507000,25025000703,2507000-25025000703,2791,14.6,6.2,"(42.35132903280, -71.1282158470)"
MA,Boston,2507000,25025110607,2507000-25025110607,5077,10.1,9,"(42.29028684510, -71.1346397855)"
MA,Boston,2507000,25025000701,2507000-25025000701,4446,12.6,6.1,"(42.34695806560, -71.1379846918)"
MA,Boston,2507000,25025110601,2507000-25025110601,2969,9.3,10.4,"(42.29599480880, -71.1404447508)"
MA,Boston,2507000,25025000704,2507000-25025000704,4801,12.1,6,"(42.35000288210, -71.1334044612)"
MA,Boston,2507000,25025981202,2507000-25025981202,207,11.2,4.5,"(42.34292381450, -71.0286195858)"
MA,Boston,2507000,25025120600,2507000-25025120600,2335,10.3,6.1,"(42.31910970970, -71.1088406629)"
MA,Boston,2507000,25025010104,2507000-25025010104,4804,12.7,6,"(42.34916389830, -71.0933199695)"
MA,Boston,2507000,25025061200,2507000-25025061200,3240,9.6,6.1,"(42.33961478830, -71.0563203202)"
MA,Boston,2507000,25025140400,2507000-25025140400,7650,13.3,12.4,"(42.26931747340, -71.1109814420)"
MA,Boston,2507000,25025010103,2507000-25025010103,4569,17.2,5.7,"(42.34978175780, -71.1034479871)"
