OID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,MHLTH,PHLTH,Health,Distance,Dist_HLTH
-1,1,201,1,201,MI,Detroit,2622000,26163530400.000000000000000,2622000-26163530400,1694,18.300000000000001,19.699999999999999,"(42.39095169160, -83.1361281559)",42.390951690000001,-83.136128159999998,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,202,1,202,MI,Detroit,2622000,26163518000.000000000000000,2622000-26163518000,2264,16.100000000000001,14.500000000000000,"(42.36249877610, -83.0613712106)",42.362498780000003,-83.061371210000004,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,203,1,203,MI,Detroit,2622000,26163538900.000000000000000,2622000-26163538900,3526,13.500000000000000,15.500000000000000,"(42.43506061720, -83.1513465177)",42.435060620000002,-83.151346520000004,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,204,1,204,MI,Detroit,2622000,26163531400.000000000000000,2622000-26163531400,1935,18.000000000000000,20.500000000000000,"(42.38038420290, -83.1189727754)",42.380384200000002,-83.118972779999993,18.449999999999999,19.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,2,3.000000000000000
-1,1,205,1,205,MI,Detroit,2622000,26163522100.000000000000000,2622000-26163522100,950,18.000000000000000,21.000000000000000,"(42.34350916890, -83.1014140412)",42.343509169999997,-83.101414039999995,18.449999999999999,19.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,3,4.000000000000000
-1,1,206,1,206,MI,Detroit,2622000,26163536200.000000000000000,2622000-26163536200,2012,16.699999999999999,19.899999999999999,"(42.41270636250, -83.1641143233)",42.412706360000001,-83.164114319999996,18.449999999999999,19.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,2,3.000000000000000
-1,1,207,1,207,MI,Detroit,2622000,26163542800.000000000000000,2622000-26163542800,2531,13.400000000000000,14.300000000000001,"(42.39014061000, -83.2243491033)",42.390140610000003,-83.224349099999998,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,208,1,208,MI,Detroit,2622000,26163500100.000000000000000,2622000-26163500100,4032,18.100000000000001,16.800000000000001,"(42.44440154480, -82.9509208070)",42.444401540000001,-82.950920810000000,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,209,1,209,MI,Detroit,2622000,26163532700.000000000000000,2622000-26163532700,962,16.199999999999999,16.899999999999999,"(42.37524775550, -83.0927711863)",42.375247760000001,-83.092771189999993,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
-1,1,210,1,210,MI,Detroit,2622000,26163507100.000000000000000,2622000-26163507100,2617,17.000000000000000,19.800000000000001,"(42.42774943410, -83.0763574305)",42.427749429999999,-83.076357430000002,18.449999999999999,19.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,3,4.000000000000000
-1,1,211,1,211,MI,Detroit,2622000,26163538100.000000000000000,2622000-26163538100,2076,12.300000000000001,13.900000000000000,"(42.44212542970, -83.1314845225)",42.442125429999997,-83.131484520000001,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
-1,1,212,1,212,MI,Detroit,2622000,26163515600.000000000000000,2622000-26163515600,1385,17.600000000000001,19.500000000000000,"(42.36394854080, -82.9917657132)",42.363948540000003,-82.991765709999996,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,213,1,213,MI,Detroit,2622000,26163507900.000000000000000,2622000-26163507900,2200,16.800000000000001,16.500000000000000,"(42.42639078020, -83.1066038431)",42.426390779999998,-83.106603840000005,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,214,1,214,MI,Detroit,2622000,26163541400.000000000000000,2622000-26163541400,2634,15.199999999999999,16.100000000000001,"(42.42187949890, -83.2676508732)",42.421879500000003,-83.267650869999997,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
-1,1,215,1,215,MI,Detroit,2622000,26163532300.000000000000000,2622000-26163532300,962,10.900000000000000,11.699999999999999,"(42.38403761750, -83.0891147363)",42.384037620000001,-83.089114739999999,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,216,1,216,MI,Detroit,2622000,26163539700.000000000000000,2622000-26163539700,1891,14.400000000000000,18.600000000000001,"(42.43469117810, -83.1956885697)",42.434691180000002,-83.195688570000002,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
-1,1,217,1,217,MI,Detroit,2622000,26163546200.000000000000000,2622000-26163546200,2863,16.600000000000001,15.800000000000001,"(42.34941952240, -83.2551045038)",42.349419519999998,-83.255104500000002,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,218,1,218,MI,Detroit,2622000,26163516900.000000000000000,2622000-26163516900,1991,13.600000000000000,19.699999999999999,"(42.34465478990, -83.0302451140)",42.344654790000000,-83.030245109999996,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,219,1,219,MI,Detroit,2622000,26163537100.000000000000000,2622000-26163537100,2178,18.000000000000000,19.399999999999999,"(42.39797649630, -83.1765031107)",42.397976499999999,-83.176503109999999,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
