OID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,plctract10,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,MHLTH,PHLTH,Health,Distance,Dist_HLTH
-1,1,53,1,53,CO,Denver,820000,8031008304.000000000000000,0820000-08031008304,3637,14.699999999999999,14.500000000000000,"(39.79386529360, -104.841569744)",39.793865289999999,-104.841569699999994,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,54,1,54,CO,Denver,820000,8031008305.000000000000000,0820000-08031008305,3963,16.300000000000001,15.600000000000000,"(39.79439281750, -104.828689298)",39.794392819999999,-104.828689299999994,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,55,1,55,CO,Denver,820000,8031008306.000000000000000,0820000-08031008306,5451,15.900000000000000,16.800000000000001,"(39.78573539020, -104.838421312)",39.785735389999999,-104.838421299999993,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,56,1,56,CO,Denver,820000,8031003102.000000000000000,0820000-08031003102,3389,13.100000000000000,11.300000000000001,"(39.74332404430, -104.966484411)",39.743324039999997,-104.966484399999999,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,57,1,57,CO,Denver,820000,8031000201.000000000000000,0820000-08031000201,3874,11.500000000000000,11.800000000000001,"(39.78750634830, -105.011767151)",39.787506350000001,-105.011767199999994,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,58,1,58,CO,Denver,820000,8031000202.000000000000000,0820000-08031000202,3916,12.199999999999999,11.900000000000000,"(39.78002202650, -105.012059564)",39.780022029999998,-105.012059600000001,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,59,1,59,CO,Denver,820000,8031001500.000000000000000,0820000-08031001500,3687,15.900000000000000,14.699999999999999,"(39.78067292870, -104.986634683)",39.780672930000001,-104.986634699999996,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,60,1,60,CO,Denver,820000,8031980000.000000000000000,0820000-08031980000,1165,12.900000000000000,8.900000000000000,"(39.85826256810, -104.688169343)",39.858262570000001,-104.688169299999998,10.900000000000000,9.699999999999999,1.500000000000000,0.000000000000000,1.500000000000000,0.000000000000000,1.500000000000000
-1,1,61,1,61,CO,Denver,820000,8031003601.000000000000000,0820000-08031003601,4651,13.800000000000001,12.900000000000000,"(39.76718395170, -104.966200644)",39.767183950000003,-104.966200599999993,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,62,1,62,CO,Denver,820000,8031003602.000000000000000,0820000-08031003602,4337,14.000000000000000,13.699999999999999,"(39.76741494930, -104.950099660)",39.767414950000003,-104.950099699999996,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,63,1,63,CO,Denver,820000,8031015700.000000000000000,0820000-08031015700,5535,13.100000000000000,13.300000000000001,"(39.66145869510, -105.034459291)",39.661458699999997,-105.034459299999995,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,64,1,64,CO,Denver,820000,8031004403.000000000000000,0820000-08031004403,4213,12.699999999999999,11.000000000000000,"(39.74439250870, -104.894813190)",39.744392509999997,-104.894813200000002,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,65,1,65,CO,Denver,820000,8031001101.000000000000000,0820000-08031001101,2601,13.400000000000000,13.100000000000000,"(39.77291920320, -105.004702823)",39.772919199999997,-105.004702800000004,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,66,1,66,CO,Denver,820000,8031000600.000000000000000,0820000-08031000600,2552,12.800000000000001,10.000000000000000,"(39.75219204360, -105.019231458)",39.752192039999997,-105.019231500000004,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,67,1,67,CO,Denver,820000,8031001901.000000000000000,0820000-08031001901,2910,17.000000000000000,16.000000000000000,"(39.73318128990, -105.008629351)",39.733181289999997,-105.008629400000004,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,68,1,68,CO,Denver,820000,8031001902.000000000000000,0820000-08031001902,705,13.000000000000000,4.800000000000000,"(39.74580647960, -105.008303766)",39.745806479999999,-105.008303799999993,10.900000000000000,9.699999999999999,1.500000000000000,0.000000000000000,1.500000000000000,2.000000000000000,3.500000000000000
-1,1,69,1,69,CO,Denver,820000,8031015400.000000000000000,0820000-08031015400,3934,11.400000000000000,9.500000000000000,"(39.78753193090, -105.043962216)",39.787531930000000,-105.043962199999996,10.900000000000000,9.699999999999999,1.500000000000000,0.000000000000000,1.500000000000000,2.000000000000000,3.500000000000000
-1,1,70,1,70,CO,Denver,820000,8031004700.000000000000000,0820000-08031004700,6198,12.199999999999999,12.500000000000000,"(39.67562510290, -105.048182732)",39.675625099999998,-105.048182699999998,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,2.000000000000000,4.500000000000000
-1,1,71,1,71,CO,Denver,820000,8031012001.000000000000000,0820000-08031012001,2032,8.800000000000001,10.400000000000000,"(39.64396411450, -105.062607711)",39.643964109999999,-105.062607700000001,10.900000000000000,9.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,3.000000000000000
-1,1,72,1,72,CO,Denver,820000,8031002402.000000000000000,0820000-08031002402,1687,10.699999999999999,8.900000000000000,"(39.74989624570, -104.975458867)",39.749896249999999,-104.975458900000007,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
-1,1,73,1,73,CO,Denver,820000,8031000102.000000000000000,0820000-08031000102,3109,9.000000000000000,7.900000000000000,"(39.78026821480, -105.039531705)",39.780268210000003,-105.039531699999998,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
-1,1,74,1,74,CO,Denver,820000,8031006804.000000000000000,0820000-08031006804,2184,8.400000000000000,8.300000000000001,"(39.63059134870, -104.894935011)",39.630591350000003,-104.894935000000004,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
-1,1,75,1,75,CO,Denver,820000,8031003902.000000000000000,0820000-08031003902,3892,8.100000000000000,7.100000000000000,"(39.69046359300, -104.949816363)",39.690463590000000,-104.949816400000003,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000
-1,1,76,1,76,CO,Denver,820000,8031006809.000000000000000,0820000-08031006809,6979,8.900000000000000,8.199999999999999,"(39.64446289740, -104.904681950)",39.644462900000001,-104.904681999999994,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000
-1,1,77,1,77,CO,Denver,820000,8031011903.000000000000000,0820000-08031011903,2194,10.300000000000001,11.800000000000001,"(39.66504746860, -105.075058191)",39.665047469999998,-105.075058200000001,10.900000000000000,9.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000,4.000000000000000
-1,1,78,1,78,CO,Denver,820000,8031003701.000000000000000,0820000-08031003701,2907,9.600000000000000,7.500000000000000,"(39.74562303470, -104.950170241)",39.745623029999997,-104.950170200000002,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
-1,1,79,1,79,CO,Denver,820000,8031003703.000000000000000,0820000-08031003703,2779,9.500000000000000,6.800000000000000,"(39.73611865220, -104.945075987)",39.736118650000002,-104.945076000000000,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000
-1,1,80,1,80,CO,Denver,820000,8031003702.000000000000000,0820000-08031003702,4357,9.800000000000001,7.300000000000000,"(39.73652184500, -104.954364593)",39.736521850000003,-104.954364600000005,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000
-1,1,81,1,81,CO,Denver,820000,8031006812.000000000000000,0820000-08031006812,3108,8.000000000000000,9.699999999999999,"(39.66016899670, -104.910906652)",39.660169000000003,-104.910906699999998,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000
-1,1,82,1,82,CO,Denver,820000,8031006810.000000000000000,0820000-08031006810,5207,9.900000000000000,9.000000000000000,"(39.64632019160, -104.888865895)",39.646320189999997,-104.888865899999999,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000
-1,1,83,1,83,CO,Denver,820000,8031006811.000000000000000,0820000-08031006811,5865,9.300000000000001,8.800000000000001,"(39.65978035970, -104.894766376)",39.659780359999999,-104.894766399999995,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
-1,1,84,1,84,CO,Denver,820000,8031003300.000000000000000,0820000-08031003300,3099,8.100000000000000,6.900000000000000,"(39.72910834030, -104.950827756)",39.729108340000003,-104.950827799999999,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
-1,1,85,1,85,CO,Denver,820000,8031004201.000000000000000,0820000-08031004201,4481,8.699999999999999,8.199999999999999,"(39.74559273700, -104.931456754)",39.745592739999999,-104.931456800000007,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000
-1,1,86,1,86,CO,Denver,820000,8031004202.000000000000000,0820000-08031004202,4109,9.600000000000000,8.199999999999999,"(39.74559894640, -104.912877654)",39.745598950000002,-104.912877699999996,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000
-1,1,87,1,87,CO,Denver,820000,8031000501.000000000000000,0820000-08031000501,1814,8.699999999999999,7.900000000000000,"(39.75092964020, -105.045805349)",39.750929640000003,-105.045805299999998,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
-1,1,88,1,88,CO,Denver,820000,8031004106.000000000000000,0820000-08031004106,10138,9.199999999999999,6.400000000000000,"(39.77727660790, -104.870674959)",39.777276610000001,-104.870675000000006,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
-1,1,89,1,89,CO,Denver,820000,8031002702.000000000000000,0820000-08031002702,5323,9.300000000000001,6.800000000000000,"(39.72965348310, -104.980174782)",39.729653480000003,-104.980174800000000,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
-1,1,90,1,90,CO,Denver,820000,8031002703.000000000000000,0820000-08031002703,4785,10.800000000000001,7.000000000000000,"(39.73602995600, -104.976438272)",39.736029960000003,-104.976438299999998,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000
-1,1,91,1,91,CO,Denver,820000,8031004006.000000000000000,0820000-08031004006,4489,9.500000000000000,8.199999999999999,"(39.67295051400, -104.950039797)",39.672950510000000,-104.950039799999999,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
-1,1,92,1,92,CO,Denver,820000,8031003402.000000000000000,0820000-08031003402,4485,8.000000000000000,7.000000000000000,"(39.69699624650, -104.966056011)",39.696996249999998,-104.966055999999995,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
-1,1,93,1,93,CO,Denver,820000,8031004005.000000000000000,0820000-08031004005,3002,10.600000000000000,7.600000000000000,"(39.68143676280, -104.950424527)",39.681436759999997,-104.950424499999997,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
-1,1,94,1,94,CO,Denver,820000,8031003401.000000000000000,0820000-08031003401,2420,7.700000000000000,7.100000000000000,"(39.71181230270, -104.966841051)",39.711812299999998,-104.966841099999996,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000
-1,1,95,1,95,CO,Denver,820000,8031011902.000000000000000,0820000-08031011902,6695,10.800000000000001,9.800000000000001,"(39.65945364430, -105.061625420)",39.659453640000002,-105.061625399999997,10.900000000000000,9.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000,4.000000000000000
-1,1,96,1,96,CO,Denver,820000,8031003800.000000000000000,0820000-08031003800,5589,8.100000000000000,8.300000000000001,"(39.71938090390, -104.949333367)",39.719380899999997,-104.949333400000000,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000
