StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,MHLTH_CrudePrev,PHLTH_CrudePrev,Geolocation,lat,long
DC,Washington,1150000,11001009601,1150000-11001009601,2445,16.3,15.6,"(38.91020168180, -76.9444388681)",38.91020168180,-76.9444388681
DC,Washington,1150000,11001007100,1150000-11001007100,2911,13.2,10.6,"(38.87713091370, -76.9871253060)",38.87713091370,-76.9871253060
DC,Washington,1150000,11001002502,1150000-11001002502,5973,11.2,9.2,"(38.93905312880, -77.0301378132)",38.93905312880,-77.0301378132
DC,Washington,1150000,11001002501,1150000-11001002501,2554,11.7,11.4,"(38.94465145590, -77.0317347907)",38.94465145590,-77.0317347907
DC,Washington,1150000,11001005600,1150000-11001005600,6756,10.4,6.6,"(38.90020798930, -77.0538622585)",38.90020798930,-77.0538622585
DC,Washington,1150000,11001003100,1150000-11001003100,2885,11,8.3,"(38.93058976220, -77.0254222296)",38.93058976220,-77.0254222296
DC,Washington,1150000,11001009301,1150000-11001009301,3143,9.6,8.8,"(38.93073375680, -76.9863910021)",38.93073375680,-76.9863910021
DC,Washington,1150000,11001009302,1150000-11001009302,1189,10.1,8.8,"(38.92511240530, -76.9908533400)",38.92511240530,-76.9908533400
DC,Washington,1150000,11001009604,1150000-11001009604,1962,11.4,12.2,"(38.89339254590, -76.9582941920)",38.89339254590,-76.9582941920
DC,Washington,1150000,11001004300,1150000-11001004300,3255,8.5,5.9,"(38.91680351150, -77.0341509587)",38.91680351150,-77.0341509587
DC,Washington,1150000,11001007502,1150000-11001007502,4541,17.3,17.4,"(38.85663288750, -76.9695452261)",38.85663288750,-76.9695452261
DC,Washington,1150000,11001007503,1150000-11001007503,2425,16.1,14.9,"(38.86398642490, -76.9869812788)",38.86398642490,-76.9869812788
DC,Washington,1150000,11001007504,1150000-11001007504,2451,17.3,16.3,"(38.86100184570, -76.9794089411)",38.86100184570,-76.9794089411
DC,Washington,1150000,11001006700,1150000-11001006700,3775,7.6,5.4,"(38.88759821410, -76.9899597190)",38.88759821410,-76.9899597190
DC,Washington,1150000,11001000801,1150000-11001000801,6709,8.2,7.1,"(38.92442470250, -77.0908660533)",38.92442470250,-77.0908660533
DC,Washington,1150000,11001008702,1150000-11001008702,1599,12.2,11.5,"(38.91487528700, -77.0014628972)",38.91487528700,-77.0014628972
DC,Washington,1150000,11001008701,1150000-11001008701,2407,10,8.1,"(38.91409854170, -77.0062781095)",38.91409854170,-77.0062781095
DC,Washington,1150000,11001010900,1150000-11001010900,3211,19.3,15.7,"(38.81162012440, -77.0248889119)",38.81162012440,-77.0248889119
DC,Washington,1150000,11001000802,1150000-11001000802,2869,8.4,6.2,"(38.91077195730, -77.0875861740)",38.91077195730,-77.0875861740
DC,Washington,1150000,11001009807,1150000-11001009807,3072,13.1,12.8,"(38.82921341650, -77.0117531092)",38.82921341650,-77.0117531092
DC,Washington,1150000,11001001402,1150000-11001001402,2998,7.4,7.7,"(38.96060510960, -77.0630932091)",38.96060510960,-77.0630932091
DC,Washington,1150000,11001001401,1150000-11001001401,3078,7.1,6.1,"(38.96530417700, -77.0706092225)",38.96530417700,-77.0706092225
DC,Washington,1150000,11001009804,1150000-11001009804,2473,15.6,14.7,"(38.83966108990, -76.9978352709)",38.83966108990,-76.9978352709
DC,Washington,1150000,11001009803,1150000-11001009803,2758,17.4,16.8,"(38.83586934820, -77.0040831938)",38.83586934820,-77.0040831938
DC,Washington,1150000,11001009802,1150000-11001009802,1693,17.5,15.6,"(38.83073114980, -76.9965577715)",38.83073114980,-76.9965577715
DC,Washington,1150000,11001009801,1150000-11001009801,1575,16.8,16.5,"(38.83383440100, -76.9963776795)",38.83383440100,-76.9963776795
